t,host_avail_GB,gpu_used_MiB
23:19:22,760,48
23:19:24,760,48
23:19:26,760,48
23:19:29,760,49
23:19:31,760,49
23:19:33,760,49
23:19:35,760,49
23:19:37,759,49
23:19:39,759,49
23:19:41,759,49
23:19:44,759,49
23:19:46,759,51
23:19:48,759,51
23:19:50,759,51
23:19:52,759,51
23:19:54,759,50
23:19:56,758,50
23:19:59,758,50
23:20:01,758,50
23:20:03,758,50
23:20:05,758,50
23:20:07,758,50
23:20:09,758,50
23:20:11,758,50
23:20:14,758,50
23:20:16,758,50
23:20:18,758,50
23:20:20,757,50
23:20:22,757,607
23:20:24,757,607
23:20:26,756,931
23:20:29,750,5693
23:20:31,740,15443
23:20:33,737,17759
23:20:35,737,17759
23:20:37,737,17759
23:20:39,736,17759
23:20:41,736,17759
23:20:44,735,17759
23:20:46,735,17759
23:20:48,734,17759
23:20:50,734,17759
23:20:52,734,17759
23:20:54,731,19811
23:20:56,731,19811
23:20:59,731,19811
23:21:01,731,19811
23:21:03,731,19811
23:21:05,731,19811
23:21:07,731,19811
23:21:09,731,19811
23:21:11,731,19811
23:21:14,731,19811
23:21:16,731,19811
23:21:18,731,19811
23:21:20,731,19811
23:21:22,731,19811
23:21:24,731,19811
23:21:26,731,19811
23:21:29,731,19811
23:21:31,731,19811
23:21:33,731,19811
23:21:35,731,19811
23:21:37,731,19811
23:21:39,731,19811
23:21:41,731,19811
23:21:44,731,19811
23:21:46,731,19811
23:21:48,731,19811
23:21:50,731,19811
23:21:52,731,19811
23:21:54,731,19811
23:21:56,731,19811
23:21:59,732,19811
23:22:01,732,19811
