timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 11:15:49.410, 345, 46, 89.57, 0
2026/07/21 11:15:50.598, 345, 46, 89.72, 0
2026/07/21 11:15:51.779, 345, 46, 89.74, 0
2026/07/21 11:15:52.962, 345, 46, 89.73, 0
2026/07/21 11:15:54.139, 345, 46, 89.56, 0
2026/07/21 11:15:55.515, 345, 47, 89.65, 0
2026/07/21 11:15:56.770, 345, 46, 89.58, 0
2026/07/21 11:15:58.578, 345, 46, 89.61, 0
2026/07/21 11:15:59.755, 345, 46, 89.36, 0
2026/07/21 11:16:00.930, 345, 46, 89.68, 0
2026/07/21 11:16:02.111, 345, 46, 89.43, 0
2026/07/21 11:16:03.292, 345, 46, 89.55, 0
2026/07/21 11:16:04.478, 345, 46, 89.51, 0
2026/07/21 11:16:05.658, 345, 46, 89.37, 0
2026/07/21 11:16:06.834, 345, 46, 89.37, 0
2026/07/21 11:16:08.014, 345, 46, 89.64, 0
2026/07/21 11:16:09.196, 345, 46, 89.47, 0
2026/07/21 11:16:10.384, 345, 46, 89.78, 0
2026/07/21 11:16:11.562, 345, 46, 89.63, 0
2026/07/21 11:16:12.739, 345, 46, 89.55, 0
2026/07/21 11:16:13.918, 345, 46, 89.54, 0
2026/07/21 11:16:15.098, 345, 46, 89.76, 0
2026/07/21 11:16:16.371, 345, 46, 89.72, 0
2026/07/21 11:16:17.869, 345, 46, 89.62, 0
2026/07/21 11:16:19.047, 345, 46, 89.54, 0
2026/07/21 11:16:20.224, 345, 46, 89.60, 0
2026/07/21 11:16:21.468, 345, 46, 89.80, 0
2026/07/21 11:16:22.649, 345, 46, 89.73, 0
2026/07/21 11:16:23.827, 345, 46, 89.55, 0
2026/07/21 11:16:25.010, 345, 46, 89.47, 0
2026/07/21 11:16:26.192, 345, 46, 89.49, 0
2026/07/21 11:16:27.373, 345, 46, 89.95, 0
2026/07/21 11:16:28.551, 345, 46, 89.89, 0
2026/07/21 11:16:29.728, 345, 46, 90.02, 0
2026/07/21 11:16:30.912, 345, 46, 89.86, 0
2026/07/21 11:16:32.093, 345, 46, 89.69, 0
2026/07/21 11:16:33.275, 345, 46, 89.93, 0
2026/07/21 11:16:34.460, 345, 46, 89.98, 0
2026/07/21 11:16:35.638, 345, 46, 89.63, 0
2026/07/21 11:16:36.817, 345, 46, 89.65, 0
2026/07/21 11:16:38.005, 345, 46, 89.90, 0
2026/07/21 11:16:39.186, 345, 46, 89.57, 0
2026/07/21 11:16:40.352, 1980, 48, 133.49, 0
2026/07/21 11:16:41.511, 1980, 49, 141.71, 0
2026/07/21 11:16:42.674, 1980, 49, 141.59, 0
