timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 12:21:08.690, 1830, 48, 157.03, 0
2026/07/21 12:21:09.833, 1830, 48, 157.05, 0
2026/07/21 12:21:10.978, 1830, 48, 157.01, 0
2026/07/21 12:21:12.116, 1830, 48, 156.94, 0
2026/07/21 12:21:13.257, 1830, 48, 157.11, 0
2026/07/21 12:21:14.706, 1830, 48, 157.34, 0
2026/07/21 12:21:15.855, 1830, 48, 157.22, 0
2026/07/21 12:21:16.997, 1830, 48, 157.08, 0
2026/07/21 12:21:18.142, 1830, 48, 157.08, 0
2026/07/21 12:21:19.283, 1830, 48, 157.15, 0
2026/07/21 12:21:20.424, 1830, 48, 157.13, 0
2026/07/21 12:21:21.567, 1830, 48, 157.22, 0
2026/07/21 12:21:22.710, 1830, 48, 157.29, 0
2026/07/21 12:21:23.849, 1830, 48, 157.21, 0
2026/07/21 12:21:24.992, 1830, 48, 156.94, 0
2026/07/21 12:21:26.140, 1830, 48, 157.21, 0
2026/07/21 12:21:27.289, 1830, 48, 157.12, 0
2026/07/21 12:21:28.431, 1830, 48, 156.96, 0
2026/07/21 12:21:29.758, 1830, 48, 157.32, 0
2026/07/21 12:21:31.361, 1830, 48, 156.98, 0
2026/07/21 12:21:32.503, 1830, 48, 157.08, 0
2026/07/21 12:21:33.645, 1830, 48, 157.29, 0
2026/07/21 12:21:34.784, 1830, 48, 157.16, 0
2026/07/21 12:21:35.926, 1830, 48, 157.08, 0
2026/07/21 12:21:37.063, 1830, 48, 157.27, 0
2026/07/21 12:21:38.202, 1830, 48, 157.01, 0
2026/07/21 12:21:39.344, 1830, 48, 157.11, 0
2026/07/21 12:21:40.484, 1830, 48, 157.26, 0
2026/07/21 12:21:41.624, 1830, 48, 157.13, 0
2026/07/21 12:21:42.762, 1830, 48, 157.13, 0
2026/07/21 12:21:43.900, 1830, 48, 157.24, 0
2026/07/21 12:21:45.044, 1830, 48, 157.08, 0
2026/07/21 12:21:46.183, 1830, 48, 157.06, 0
2026/07/21 12:21:47.325, 1830, 48, 157.00, 0
2026/07/21 12:21:48.466, 1830, 48, 157.05, 0
2026/07/21 12:21:49.609, 1830, 48, 157.04, 0
2026/07/21 12:21:50.751, 1830, 48, 157.07, 0
2026/07/21 12:21:51.893, 1830, 48, 157.13, 0
2026/07/21 12:21:53.034, 1830, 48, 157.13, 0
2026/07/21 12:21:54.174, 1830, 48, 153.19, 0
2026/07/21 12:21:55.314, 1830, 48, 153.12, 0
2026/07/21 12:21:56.454, 1830, 48, 153.15, 0
2026/07/21 12:21:57.596, 1830, 48, 153.02, 0
2026/07/21 12:21:58.738, 1830, 48, 153.01, 0
2026/07/21 12:21:59.883, 1830, 49, 169.49, 29
2026/07/21 12:22:01.027, 1830, 48, 159.39, 0
2026/07/21 12:22:02.168, 1830, 48, 153.47, 0
2026/07/21 12:22:03.313, 1830, 48, 153.78, 0
2026/07/21 12:22:04.461, 1830, 51, 235.48, 55
2026/07/21 12:22:05.600, 1455, 59, 272.14, 98
2026/07/21 12:22:06.738, 1500, 65, 563.11, 98
2026/07/21 12:22:07.877, 1470, 66, 563.79, 98
2026/07/21 12:22:09.016, 1515, 66, 565.53, 98
2026/07/21 12:22:10.155, 1530, 66, 460.67, 97
2026/07/21 12:22:11.298, 1515, 67, 564.33, 98
2026/07/21 12:22:12.442, 1500, 66, 562.38, 99
2026/07/21 12:22:13.584, 1590, 67, 543.20, 98
2026/07/21 12:22:14.723, 1515, 67, 567.94, 98
2026/07/21 12:22:15.861, 1620, 67, 565.25, 98
2026/07/21 12:22:16.998, 1530, 68, 570.70, 97
