model,bw_gbps,bw_label,mfu_pct
llama3-70b,200,200 Gbps,63.71961576354249
deepseekv3,800,800 Gbps,17.52931915717271
gptoss-120b,100,100 Gbps,18.270896566804012
deepseekv3,100,100 Gbps,4.3469612150662345
llama3-70b,400,400 Gbps,63.93568187559874
gptoss-120b,400,400 Gbps,18.833447986397985
llama3-70b,800,800 Gbps,64.0442653569126
llama3-70b,10,10 Gbps,55.23623981037312
llama3-70b,100,100 Gbps,63.29183520792443
gptoss-120b,200,200 Gbps,18.64212091158422
gptoss-120b,10,10 Gbps,13.28361311278026
gptoss-120b,800,800 Gbps,18.9181565040833
deepseekv3,400,400 Gbps,12.230717851078762
deepseekv3,200,200 Gbps,7.622562024943852
deepseekv3,10,10 Gbps,0.497642637329778
