co2eq_g,energy_wh,error,error_detail,iteration_time_ms,mfu_pct,name,oom,simulated,skipped,throughput_tps
,,,,,,tp1_pp1_mbs1,True,,,
,,,,,,tp1_pp1_mbs2,True,,True,
,,,,,,tp1_pp1_mbs4,True,,True,
,,,,,,tp1_pp1_mbs8,True,,True,
,,,,,,tp1_pp1_mbs16,True,,True,
,,,,,,tp1_pp1_mbs32,True,,True,
,,,,,,tp1_pp1_mbs64,True,,True,
,,,,,,tp1_pp1_mbs128,True,,True,
,,,,,,tp1_pp1_mbs256,True,,True,
,,,,,,tp1_pp1_mbs512,True,,True,
,,,,,,tp1_pp1_mbs1024,True,,True,
,,,,,,tp1_pp2_mbs1_vpp1,True,,,
,,,,,,tp1_pp2_mbs1_vpp2,True,,,
,,,,,,tp1_pp2_mbs1_vpp4,True,,,
,,,,,,tp1_pp2_mbs1_vpp8,True,,,
,,,,,,tp1_pp2_mbs1_vpp16,True,,,
,,,,,,tp1_pp2_mbs1_vpp32,True,,,
,,,,,,tp1_pp2_mbs2_vpp1,True,,True,
,,,,,,tp1_pp2_mbs2_vpp2,True,,True,
,,,,,,tp1_pp2_mbs2_vpp4,True,,True,
,,,,,,tp1_pp2_mbs2_vpp8,True,,True,
,,,,,,tp1_pp2_mbs2_vpp16,True,,True,
,,,,,,tp1_pp2_mbs2_vpp32,True,,True,
,,,,,,tp1_pp2_mbs4_vpp1,True,,True,
,,,,,,tp1_pp2_mbs4_vpp2,True,,True,
,,,,,,tp1_pp2_mbs4_vpp4,True,,True,
,,,,,,tp1_pp2_mbs4_vpp8,True,,True,
,,,,,,tp1_pp2_mbs4_vpp16,True,,True,
,,,,,,tp1_pp2_mbs4_vpp32,True,,True,
,,,,,,tp1_pp2_mbs8_vpp1,True,,True,
,,,,,,tp1_pp2_mbs8_vpp2,True,,True,
,,,,,,tp1_pp2_mbs8_vpp4,True,,True,
,,,,,,tp1_pp2_mbs8_vpp8,True,,True,
,,,,,,tp1_pp2_mbs8_vpp16,True,,True,
,,,,,,tp1_pp2_mbs8_vpp32,True,,True,
,,,,,,tp1_pp2_mbs16_vpp1,True,,True,
,,,,,,tp1_pp2_mbs16_vpp2,True,,True,
,,,,,,tp1_pp2_mbs16_vpp4,True,,True,
,,,,,,tp1_pp2_mbs16_vpp8,True,,True,
,,,,,,tp1_pp2_mbs16_vpp16,True,,True,
,,,,,,tp1_pp2_mbs16_vpp32,True,,True,
,,,,,,tp1_pp2_mbs32_vpp1,True,,True,
,,,,,,tp1_pp2_mbs32_vpp2,True,,True,
,,,,,,tp1_pp2_mbs32_vpp4,True,,True,
,,,,,,tp1_pp2_mbs32_vpp8,True,,True,
,,,,,,tp1_pp2_mbs32_vpp16,True,,True,
,,,,,,tp1_pp2_mbs32_vpp32,True,,True,
,,,,,,tp1_pp2_mbs64_vpp1,True,,True,
,,,,,,tp1_pp2_mbs64_vpp2,True,,True,
,,,,,,tp1_pp2_mbs64_vpp4,True,,True,
,,,,,,tp1_pp2_mbs64_vpp8,True,,True,
,,,,,,tp1_pp2_mbs64_vpp16,True,,True,
,,,,,,tp1_pp2_mbs64_vpp32,True,,True,
,,,,,,tp1_pp2_mbs128_vpp1,True,,True,
,,,,,,tp1_pp2_mbs128_vpp2,True,,True,
,,,,,,tp1_pp2_mbs128_vpp4,True,,True,
,,,,,,tp1_pp2_mbs128_vpp8,True,,True,
,,,,,,tp1_pp2_mbs128_vpp16,True,,True,
,,,,,,tp1_pp2_mbs128_vpp32,True,,True,
,,,,,,tp1_pp2_mbs256_vpp1,True,,True,
,,,,,,tp1_pp2_mbs256_vpp2,True,,True,
,,,,,,tp1_pp2_mbs256_vpp4,True,,True,
,,,,,,tp1_pp2_mbs256_vpp8,True,,True,
,,,,,,tp1_pp2_mbs256_vpp16,True,,True,
,,,,,,tp1_pp2_mbs256_vpp32,True,,True,
,,,,,,tp1_pp2_mbs512_vpp1,True,,True,
,,,,,,tp1_pp2_mbs512_vpp2,True,,True,
,,,,,,tp1_pp2_mbs512_vpp4,True,,True,
,,,,,,tp1_pp2_mbs512_vpp8,True,,True,
,,,,,,tp1_pp2_mbs512_vpp16,True,,True,
,,,,,,tp1_pp2_mbs512_vpp32,True,,True,
,,,,,,tp1_pp2_mbs1024_vpp1,True,,True,
,,,,,,tp1_pp2_mbs1024_vpp2,True,,True,
,,,,,,tp1_pp2_mbs1024_vpp4,True,,True,
,,,,,,tp1_pp2_mbs1024_vpp8,True,,True,
,,,,,,tp1_pp2_mbs1024_vpp16,True,,True,
,,,,,,tp1_pp2_mbs1024_vpp32,True,,True,
,,,,,,tp1_pp4_mbs1_vpp1,True,,,
,,,,,,tp1_pp4_mbs1_vpp2,True,,,
,,,,,,tp1_pp4_mbs1_vpp4,True,,,
