name,tp,pp,mbs,vpp,mfu_his,mfu_thomas,delta_pp,iter_ms_thomas,error
tp2_pp4_mbs1_vpp1,2,4,1,1,46.79688102779272,46.8,0.0,107522.264,
tp4_pp1_mbs1,4,1,1,,43.90207897851317,43.9,-0.0,114664.721,
tp4_pp2_mbs1_vpp1,4,2,1,1,42.7697011833647,42.8,0.03,117609.972,
tp4_pp2_mbs1_vpp16,4,2,1,16,31.278709633201736,31.2,-0.08,161054.524,
tp4_pp2_mbs1_vpp2,4,2,1,2,48.30988556026819,48.3,-0.01,104127.129,
tp4_pp2_mbs1_vpp32,4,2,1,32,28.90595997971404,28.8,-0.11,174657.865,
tp4_pp2_mbs1_vpp4,4,2,1,4,48.343651857878285,48.3,-0.04,104048.915,
tp4_pp2_mbs1_vpp8,4,2,1,8,37.61718659530594,37.6,-0.02,133882.979,
tp4_pp2_mbs2_vpp1,4,2,2,1,53.05158126088117,53.0,-0.05,94813.019,
tp4_pp2_mbs2_vpp16,4,2,2,16,53.89656771207607,53.9,0.0,93329.485,
tp4_pp2_mbs2_vpp32,4,2,2,32,53.79317429765871,53.7,-0.09,93672.059,
tp4_pp2_mbs2_vpp8,4,2,2,8,54.4459364536386,54.4,-0.05,92382.506,
tp4_pp4_mbs1_vpp1,4,4,1,1,24.193091462551873,24.2,0.01,207929.615,
tp4_pp4_mbs1_vpp4,4,4,1,4,,,,,Command '['/e/software/default/stages/2026/software/Python/3.13.5-GCCcore-14.3.0
tp8_pp1_mbs1,8,1,1,,29.16547224248458,29.1,-0.07,172652.586,
tp8_pp1_mbs2,8,1,2,,46.22105498277782,46.2,-0.02,108916.976,
tp8_pp1_mbs4,8,1,4,,53.65693452746791,53.6,-0.06,93786.074,
tp8_pp2_mbs1_vpp1,8,2,1,1,27.614145417567386,27.5,-0.11,182796.665,
tp8_pp2_mbs1_vpp16,8,2,1,16,26.333226926373055,26.3,-0.03,191205.137,
tp8_pp2_mbs1_vpp2,8,2,1,2,27.823686528330217,27.8,-0.02,181082.845,
tp8_pp2_mbs1_vpp32,8,2,1,32,,24.4,,206431.503,
tp8_pp2_mbs1_vpp4,8,2,1,4,27.230909170092943,27.2,-0.03,184937.687,
tp8_pp2_mbs1_vpp8,8,2,1,8,27.36404477005746,27.3,-0.06,183969.269,
tp8_pp2_mbs2_vpp1,8,2,2,1,42.66967378743698,42.7,0.03,117882.545,
tp8_pp2_mbs2_vpp16,8,2,2,16,48.58786564064828,48.4,-0.19,103887.225,
tp8_pp2_mbs2_vpp2,8,2,2,2,48.14422007052567,48.0,-0.14,104678.326,
tp8_pp2_mbs2_vpp32,8,2,2,32,43.5174573133392,43.3,-0.22,116225.171,
tp8_pp2_mbs2_vpp4,8,2,2,4,48.141265851244256,48.1,-0.04,104486.485,
tp8_pp2_mbs2_vpp8,8,2,2,8,49.44205304088431,49.4,-0.04,101728.751,
tp8_pp2_mbs4_vpp1,8,2,4,1,50.89051535817086,50.9,0.01,98842.667,
tp8_pp2_mbs4_vpp16,8,2,4,16,51.52148346078859,51.5,-0.02,97624.354,
tp8_pp2_mbs4_vpp2,8,2,4,2,51.471803554707286,51.5,0.03,97727.146,
tp8_pp2_mbs4_vpp32,8,2,4,32,51.99602400084412,52.0,0.0,96741.0,
tp8_pp2_mbs4_vpp4,8,2,4,4,51.47049644023055,51.5,0.03,97729.628,
tp8_pp2_mbs4_vpp8,8,2,4,8,51.95470481998329,52.0,0.05,96814.142,
