model,source,value
gptoss-bf16,Baseline,765.3040885925293
gptoss-bf16,Baseline,765.629768371582
gptoss-bf16,Baseline,764.7948265075684
gptoss-bf16,Baseline,764.040470123291
gptoss-bf16,Baseline,764.2335891723633
gptoss-bf16,Baseline,764.5256519317627
gptoss-bf16,Baseline,764.4555568695068
gptoss-bf16,Baseline,762.4530792236328
gptoss-bf16,Baseline,763.4031772613525
gptoss-bf16,Baseline,764.4522190093994
gptoss-bf16,Baseline,763.7457847595215
gptoss-bf16,Baseline,763.848066329956
gptoss-bf16,Baseline,762.5744342803955
gptoss-bf16,Baseline,763.2811069488525
gptoss-bf16,Baseline,764.5242214202881
gptoss-bf16,Baseline,764.8553848266602
gptoss-bf16,Baseline,764.3287181854248
gptoss-bf16,Baseline,764.2583847045898
gptoss-bf16,Baseline,763.838529586792
gptoss-bf16,Baseline,764.0564441680908
gptoss-bf16,Baseline,762.8750801086426
gptoss-bf16,Baseline,770.2324390411377
gptoss-bf16,Baseline,764.8987770080566
gptoss-bf16,Baseline,1975.6317138671875
gptoss-bf16,Baseline,763.0393505096436
gptoss-bf16,Baseline,765.5870914459229
gptoss-bf16,Baseline,763.390302658081
gptoss-bf16,Baseline,765.5317783355713
gptoss-bf16,Baseline,768.0747509002686
gptoss-bf16,Baseline,1959.9583148956299
gptoss-bf16,Simulated,742.5603455348512
gptoss-bf16-pp4-ep4,Baseline,1768.287181854248
gptoss-bf16-pp4-ep4,Baseline,1128.7901401519775
gptoss-bf16-pp4-ep4,Baseline,1797.132968902588
gptoss-bf16-pp4-ep4,Baseline,1841.7434692382812
gptoss-bf16-pp4-ep4,Baseline,1125.9751319885254
gptoss-bf16-pp4-ep4,Baseline,1129.6932697296143
gptoss-bf16-pp4-ep4,Baseline,1128.849983215332
gptoss-bf16-pp4-ep4,Baseline,1132.0183277130127
gptoss-bf16-pp4-ep4,Baseline,1129.9078464508057
gptoss-bf16-pp4-ep4,Baseline,1128.9558410644531
gptoss-bf16-pp4-ep4,Baseline,1129.7707557678223
gptoss-bf16-pp4-ep4,Baseline,1130.7239532470703
gptoss-bf16-pp4-ep4,Baseline,1130.709171295166
gptoss-bf16-pp4-ep4,Baseline,1129.2064189910889
gptoss-bf16-pp4-ep4,Baseline,1514.5435333251953
gptoss-bf16-pp4-ep4,Baseline,1530.3223133087158
gptoss-bf16-pp4-ep4,Baseline,1129.927396774292
gptoss-bf16-pp4-ep4,Baseline,1131.3672065734863
gptoss-bf16-pp4-ep4,Baseline,1130.4738521575928
gptoss-bf16-pp4-ep4,Baseline,1131.237506866455
gptoss-bf16-pp4-ep4,Baseline,1161.2203121185303
gptoss-bf16-pp4-ep4,Baseline,2929.419755935669
gptoss-bf16-pp4-ep4,Baseline,1131.4141750335693
gptoss-bf16-pp4-ep4,Baseline,1127.3410320281982
gptoss-bf16-pp4-ep4,Baseline,1126.7404556274414
gptoss-bf16-pp4-ep4,Baseline,1128.1263828277588
gptoss-bf16-pp4-ep4,Baseline,1129.5607089996338
gptoss-bf16-pp4-ep4,Baseline,1131.7839622497559
gptoss-bf16-pp4-ep4,Baseline,1128.2708644866943
gptoss-bf16-pp4-ep4,Baseline,1128.3411979675293
gptoss-bf16-pp4-ep4,Simulated,998.1147883085342
gptoss-bf16,Baseline,765.3040885925293
gptoss-bf16,Baseline,765.629768371582
gptoss-bf16,Baseline,764.7948265075684
gptoss-bf16,Baseline,764.040470123291
gptoss-bf16,Baseline,764.2335891723633
gptoss-bf16,Baseline,764.5256519317627
gptoss-bf16,Baseline,764.4555568695068
gptoss-bf16,Baseline,762.4530792236328
gptoss-bf16,Baseline,763.4031772613525
gptoss-bf16,Baseline,764.4522190093994
gptoss-bf16,Baseline,763.7457847595215
gptoss-bf16,Baseline,763.848066329956
gptoss-bf16,Baseline,762.5744342803955
gptoss-bf16,Baseline,763.2811069488525
gptoss-bf16,Baseline,764.5242214202881
gptoss-bf16,Baseline,764.8553848266602
gptoss-bf16,Baseline,764.3287181854248
gptoss-bf16,Baseline,764.2583847045898
gptoss-bf16,Baseline,763.838529586792
gptoss-bf16,Baseline,764.0564441680908
gptoss-bf16,Baseline,762.8750801086426
gptoss-bf16,Baseline,770.2324390411377
gptoss-bf16,Baseline,764.8987770080566
gptoss-bf16,Baseline,1975.6317138671875
gptoss-bf16,Baseline,763.0393505096436
gptoss-bf16,Baseline,765.5870914459229
gptoss-bf16,Baseline,763.390302658081
gptoss-bf16,Baseline,765.5317783355713
gptoss-bf16,Baseline,768.0747509002686
gptoss-bf16,Baseline,1959.9583148956299
gptoss-bf16,Simulated,742.5603455348512
gptoss-bf16-3nic,Baseline,885.6267929077148
gptoss-bf16-3nic,Baseline,885.9593868255615
gptoss-bf16-3nic,Baseline,886.451005935669
gptoss-bf16-3nic,Baseline,886.5609169006348
gptoss-bf16-3nic,Baseline,885.9572410583496
gptoss-bf16-3nic,Baseline,887.364387512207
gptoss-bf16-3nic,Baseline,885.5495452880859
gptoss-bf16-3nic,Baseline,886.1370086669922
gptoss-bf16-3nic,Baseline,885.6191635131836
gptoss-bf16-3nic,Baseline,886.0194683074951
gptoss-bf16-3nic,Baseline,885.2040767669678
gptoss-bf16-3nic,Baseline,885.5383396148682
gptoss-bf16-3nic,Baseline,885.3931427001953
gptoss-bf16-3nic,Baseline,895.6830501556396
gptoss-bf16-3nic,Baseline,885.857105255127
gptoss-bf16-3nic,Baseline,885.6821060180664
gptoss-bf16-3nic,Baseline,886.1942291259766
gptoss-bf16-3nic,Baseline,885.6430053710938
gptoss-bf16-3nic,Baseline,885.7002258300781
gptoss-bf16-3nic,Baseline,886.1606121063232
gptoss-bf16-3nic,Baseline,885.4196071624756
gptoss-bf16-3nic,Baseline,885.8292102813721
gptoss-bf16-3nic,Baseline,885.9844207763672
gptoss-bf16-3nic,Baseline,886.0983848571777
gptoss-bf16-3nic,Baseline,885.9848976135254
gptoss-bf16-3nic,Baseline,885.638952255249
gptoss-bf16-3nic,Baseline,885.7777118682861
gptoss-bf16-3nic,Baseline,886.2111568450928
gptoss-bf16-3nic,Baseline,886.742353439331
gptoss-bf16-3nic,Baseline,2480.1626205444336
gptoss-bf16-3nic,Simulated,839.3382913595182
gptoss-bf16-2nic,Baseline,1034.5933437347412
gptoss-bf16-2nic,Baseline,1034.4493389129639
gptoss-bf16-2nic,Baseline,1035.74800491333
gptoss-bf16-2nic,Baseline,1036.329746246338
gptoss-bf16-2nic,Baseline,1035.8607769012451
gptoss-bf16-2nic,Baseline,1035.2835655212402
gptoss-bf16-2nic,Baseline,1034.3191623687744
gptoss-bf16-2nic,Baseline,1035.3591442108154
gptoss-bf16-2nic,Baseline,1036.5564823150635
gptoss-bf16-2nic,Baseline,2227.2181510925293
gptoss-bf16-2nic,Baseline,1035.0391864776611
gptoss-bf16-2nic,Baseline,1034.9485874176025
gptoss-bf16-2nic,Baseline,1035.7837677001953
gptoss-bf16-2nic,Baseline,1035.2003574371338
